danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,ID,duration_ms,time_signature,genre,song_name
0.671,0.71,9,-6.997,0,0.109,0.335,4.76e-06,0.074,0.233,204.044,audio_features,5dKyZWlgjWw1oJgLa4GCZD,199179,4,Pop,Cool Girl
0.67,0.634,8,-5.896,0,0.0311,0.0105,0.00142,0.312,0.628,150.992,audio_features,4cBRXZl34eCJ0HfXKiXFou,313200,4,Hiphop,Why
0.729,0.837,1,-3.999,1,0.261,0.458,9.61e-05,0.107,0.511,139.019,audio_features,5f2gNhegc13RpHXQIphoOq,186475,4,Trap Metal,STFU
0.585,0.916,7,-2.924,1,0.229,0.0486,0.0,0.329,0.42,138.085,audio_features,29la5aV9nYM9DusXVVZT9r,142237,4,Trap Metal,$Way
0.635,0.682,7,-10.734,1,0.438,0.0525,0.0,0.421,0.855,159.708,audio_features,0iiNKiK5BeNGMzxGi6ap0A,234794,4,Trap Metal,Suburban Sociopath
0.849,0.413,0,-9.274,0,0.346,0.00286,8.58e-05,0.106,0.458,170.096,audio_features,3DzuPzpdZtn3oFVZ9gcy0M,98655,4,Dark Trap,RampartRange
0.729,0.63,10,-10.758,1,0.408,0.164,0.0,0.205,0.463,160.024,audio_features,1SrtBouwnAgR6l5aNdQ4B2,183446,4,Dark Trap,RED DOT
0.831,0.468,11,-8.173,0,0.0873,0.0301,0.00655,0.113,0.358,159.008,audio_features,2sonxpBiWRIEYhhK6SJVKW,120552,4,Dark Trap,TheCurseOfTheGhost
0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,6gpcs5eMhJwax4mIfKDYQk,230813,4,Hiphop,Slide (feat. Frank Ocean & Migos)
0.82,0.446,3,-7.797,1,0.146,0.821,0.0,0.104,0.626,131.093,audio_features,4G77NVRPheQt9bb3dIizXM,102800,4,Underground Rap,Moody
0.601,0.583,8,-5.725,0,0.263,0.144,9.73e-05,0.183,0.32,148.785,audio_features,0DJBgBiYeSn6n1AXAkFVE8,208760,4,Rap,I Am
0.617,0.836,1,-7.451,0,0.695,0.000192,0.00453,0.393,0.351,178.641,audio_features,2aRW15XohUA0oWlT4XkMEV,106710,4,Trap Metal,Lovely Day To Catch
0.792,0.783,1,-5.114,1,0.0478,0.237,0.0,0.244,0.425,179.974,audio_features,4D2Uf5tZyj4l80k18qKw4Q,102000,4,Underground Rap,Brain Death
0.871,0.407,1,-9.334,1,0.573,0.187,0.0,0.362,0.334,200.042,audio_features,6brvlhkOJXJtJHdO9o1oPm,126000,4,Dark Trap,Toe Tags & Broken Skulls
0.907,0.431,10,-8.566,0,0.286,0.128,0.0,0.0791,0.67,104.923,audio_features,7hv3kNKnWab3ahaSpuya8c,188016,4,Underground Rap,Super Soaker
0.476,0.716,4,-5.431,1,0.276,0.00212,0.0,0.0976,0.5,160.138,audio_features,59DrvuUo8QCSRRm2mTyS0o,211152,4,Hiphop,Lost Kings
